학교,학과,모집인원,지원인원,경쟁률,최종추합번호,최고등급,평균등급,(80%)등급,최고환산점수,평균환산점수,(80%)환산점수
부경대,글로벌자율전공학부(인문·사회계),12,85,7.08,19,2.21,2.73,2.95,993.9,991.31,990.21
부경대,글로벌자율전공학부(자연계),7,61,8.71,7,2.35,2.68,2.9,993.23,991.56,990.48
부경대,국어국문학과,11,108,9.82,17,2,2.72,3.26,991.78,988.62,987.4
부경대,영어영문학부(영어영문학전공·미국학전공),26,178,6.85,39,2,2.88,3.22,992.54,989.09,987.64
부경대,일어일문학부(일본어문학전공·일본학전공),27,228,8.44,31,2,3.07,3.43,991.9,987.55,985.6
부경대,사학과,11,559,50.82,25,2.25,3.07,3.34,992.12,988.14,986.51
부경대,경제학과,31,209,6.74,42,1.86,2.78,2.99,995.69,990.97,990
부경대,법학과,22,151,6.86,34,2,2.65,2.98,993.26,990.46,989.21
부경대,행정복지학부(행정학전공·사회복지학전공),26,167,6.42,41,2,2.65,2.93,994.44,991.11,989.93
부경대,국제지역학부(국제학전공·국제개발협력학전공),29,244,8.41,44,2,2.84,3.12,991.5,989.67,988.7
부경대,중국학과,8,72,9,14,2,3.23,3.59,990.63,986.15,984.09
부경대,정치외교학과,7,48,6.86,12,2.28,2.96,3.2,993.55,989.7,987.95
부경대,유아교육과,2,22,11,4,,,,,,
부경대,패션디자인학과,12,178,14.83,18,2,2.88,3.32,989.8,988.13,986.77
부경대,사회계열(법학과·중국학과·정치외교학과),16,419,26.19,27,2.25,3.1,3.27,990.35,988.22,987.2
부경대,응용수학과,14,59,4.21,15,2.45,3.66,4.19,992.72,983.08,978.07
부경대,물리학과,18,148,8.22,40,2.25,3.73,4,984.53,981.71,979.95
부경대,화학과,19,84,4.42,25,2,3.03,3.47,993.27,988.22,985.27
부경대,미생물학과,14,77,5.5,18,2,2.66,2.96,993.39,990.66,989.27
부경대,간호학과,20,184,9.2,56,1.46,2.47,2.75,994.88,992.39,991.22
부경대,과학컴퓨팅학과,9,92,10.22,6,3.16,3.36,3.49,988.35,986.33,985.02
부경대,경영학부(경영학전공·회계·재무학전공·관광경영학전공),62,371,5.98,104,1.44,2.48,2.85,994.91,991.57,989.77
부경대,국제통상학부(국제통상학전공·국제무역물류학전공·국제경영학전공),40,246,6.15,70,2,2.84,3.11,993.09,990.05,988.84
부경대,전기공학부(전기공학전공·제어계측공학전공·디스플레이반도체공학전공),82,348,4.24,95,1.86,2.88,3.28,994.68,989.63,987.08
부경대,기계공학부(기계공학전공·기계설계공학전공),73,342,4.68,127,2.09,2.93,3.15,994.54,989.75,987.85
부경대,에너지수송시스템공학부(냉동공조공학전공·기계시스템공학전공·조선해양시스템공학전공),55,217,3.95,59,1.41,2.91,3.17,995.62,989.58,987.71
부경대,화학공학과,32,136,4.25,61,1.63,2.43,2.75,996.8,992.8,991.23
부경대,공업화학·고분자공학부(공업화학전공·고분자공학전공),43,172,4,53,2.41,3.17,3.43,992.94,987.77,985.61
부경대,나노융합공학과,26,273,10.5,54,2.93,3.27,3.39,990.3,987.18,986.07
부경대,시스템경영·안전공학부(산업경영공학전공·기술·데이터공학전공·안전공학전공),44,199,4.52,57,2,3.31,3.59,991.84,986.09,984.06
부경대,소방공학과,15,93,6.2,15,2.56,3.24,3.54,992.19,987.14,984.51
부경대,융합소재공학부(금속공학전공·재료공학전공·신소재시스템공학전공),63,260,4.13,81,2,3.2,3.6,994.1,986.92,982.88
부경대,건축공학과,16,92,5.75,22,2.36,3.07,3.29,993.15,988.79,987.05
부경대,지속가능공학부(토목공학전공),25,122,4.88,21,2,3.44,3.75,990.23,985.06,982.41
부경대,지속가능공학부(생태공학전공),12,161,13.42,14,2,3.39,3.67,989,985.07,983.23
부경대,식품과학부(식품공학전공·식품영양학전공),32,282,8.81,42,2.11,2.91,3.2,994.43,989.98,987.94
부경대,생물공학과,15,61,4.07,23,1.9,2.39,2.68,995.49,993.02,991.56
부경대,해양생산시스템관리학부(해양생산학전공·해양경찰학전공),34,214,6.29,42,2,3.53,3.84,991.76,983.5,981.54
부경대,수산생명과학부(양식응용생명과학전공·자원생물학전공),34,170,5,39,2,3.26,3.66,994.03,986.31,983.39
부경대,수산생명의학과,11,50,4.55,10,1.51,2.18,2.8,997.38,991.95,989
부경대,수해양산업교육과(기관공학전공·냉동공학전공·식품공학전공·양식공학전공·어업공학전공·항해공학전공),1,9,9,1,,,,,,
부경대,해양수산경영경제학부(해양수산경영학전공·자원환경경제학전공),33,230,6.97,42,2,3.2,3.44,990.38,987.2,985.53
부경대,지구환경시스템과학부(환경공학전공),17,75,4.41,8,2,3.2,3.59,992.69,987.08,984.08
부경대,지구환경시스템과학부(해양학전공),18,88,4.89,25,3.13,3.72,3.93,988.62,982.71,980.63
부경대,지구환경시스템과학부(환경지질과학전공),18,91,5.06,20,2.92,3.78,4.03,990.38,982.16,979.63
부경대,지구환경시스템과학부(환경대기과학전공),18,80,4.44,19,2,2.97,3.23,991.7,988.87,987.6
부경대,지구환경시스템과학부(공간정보시스템공학전공),17,86,5.06,15,3.34,3.57,3.7,986.59,984.23,982.99
부경대,해양공학과,18,101,5.61,16,2,3.26,3.63,992.02,985.97,983.69
부경대,에너지자원공학과,12,98,8.17,15,3.13,3.31,3.36,988.64,986.86,986.38
부경대,데이터정보과학부(빅데이터융합전공·통계·데이터사이언스전공),23,169,7.35,40,2,2.79,3.07,994.25,990.34,989.02
부경대,미디어커뮤니케이션학부(언론정보전공·휴먼ICT융합전공),23,162,7.04,31,1.71,2.58,2.88,994.65,991.31,990.2
부경대,스마트헬스케어학부(의공학전공),18,71,3.94,14,2,3.28,4.01,994.49,985.49,979.81
부경대,스마트헬스케어학부(휴먼바이오융합전공),10,49,4.9,9,2.98,3.32,3.43,990.05,986.72,985.69
부경대,전자정보통신공학부(전자공학전공·정보통신공학전공),57,225,3.95,95,1.26,2.86,3.35,994.28,989.59,986.44
부경대,조형학부(건축학전공),20,128,6.4,26,1.61,2.65,3.13,992.66,990.1,988.67
부경대,컴퓨터·인공지능공학부(컴퓨터공학전공·인공지능전공),53,340,6.42,70,1.75,2.51,2.76,996.24,992.44,991.17
